,line_id,route_id,direction,stoppoint_id,progr_number
702,116,3,2,7067,2
703,116,3,2,7586,59
704,116,3,2,7587,60
705,116,3,2,7588,61
706,118,4,2,303,43
708,118,4,2,461,19
710,118,4,2,768,24
712,118,4,2,769,25
714,118,4,2,770,26
716,118,4,2,771,27
718,118,4,2,772,28
720,118,4,2,773,29
722,118,4,2,774,30
724,118,4,2,775,31
726,118,4,2,776,32
728,118,4,2,777,33
730,118,4,2,786,38
732,118,4,2,792,39
734,118,4,2,906,34
736,118,4,2,907,35
738,118,4,2,908,36
740,118,4,2,909,37
742,118,4,2,2064,15
744,118,4,2,2065,16
746,118,4,2,2068,20
748,118,4,2,2069,21
750,118,4,2,2070,22
752,118,4,2,2084,23
754,118,4,2,3283,1
755,118,4,2,3284,2
756,118,4,2,3310,3
757,118,4,2,3317,12
759,118,4,2,3318,13
761,118,4,2,3320,14
763,118,4,2,3481,3
765,118,4,2,3482,4
767,118,4,2,3483,5
769,118,4,2,3484,6
771,118,4,2,3485,7
773,118,4,2,3486,8
775,118,4,2,3487,9
777,118,4,2,4727,17
779,118,4,2,4728,18
781,118,4,2,7325,13
782,118,4,2,7415,10
784,118,4,2,7416,11
786,118,4,2,7586,41
788,118,4,2,7587,42
790,120,7,1,3,2
791,120,7,1,56,6
792,120,7,1,58,7
793,120,7,1,71,19
794,120,7,1,72,20
795,120,7,1,192,3
796,120,7,1,276,26
797,120,7,1,795,4
798,120,7,1,796,5
799,120,7,1,822,13
800,120,7,1,823,14
801,120,7,1,824,15
802,120,7,1,825,16
803,120,7,1,826,17
804,120,7,1,827,18
805,120,7,1,4481,11
806,120,7,1,4485,12
807,120,7,1,4499,8
808,120,7,1,4500,10
809,120,7,1,4538,23
810,120,7,1,4934,9
811,120,7,1,5144,21
812,120,7,1,5145,25
813,120,7,1,6004,1
814,120,7,1,7027,22
815,120,7,1,7396,24
816,120,9,2,30,6
817,120,9,2,68,5
818,120,9,2,69,7
819,120,9,2,75,12
820,120,9,2,79,17
821,120,9,2,80,18
822,120,9,2,82,19
823,120,9,2,263,23
824,120,9,2,284,1
825,120,9,2,817,20
826,120,9,2,818,21
827,120,9,2,819,22
828,120,9,2,828,8
829,120,9,2,829,9
830,120,9,2,830,10
831,120,9,2,831,11
832,120,9,2,4501,13
833,120,9,2,4502,15
834,120,9,2,4504,2
835,120,9,2,4935,14
836,120,9,2,4936,16
837,120,9,2,5147,4
838,120,9,2,6071,24
839,120,9,2,7028,3
840,122,18,1,16,6
841,122,18,1,51,19
842,122,18,1,52,20
843,122,18,1,73,7
844,122,18,1,74,8
845,122,18,1,77,12
846,122,18,1,78,13
847,122,18,1,79,14
848,122,18,1,80,15
849,122,18,1,82,16
850,122,18,1,83,17
851,122,18,1,84,18
852,122,18,1,263,21
853,122,18,1,271,22
854,122,18,1,832,10
855,122,18,1,833,11
856,122,18,1,1278,23
857,122,18,1,1282,24
858,122,18,1,1284,26
859,122,18,1,1285,27
860,122,18,1,1286,28
861,122,18,1,1288,29
862,122,18,1,1289,30
863,122,18,1,1360,31
864,122,18,1,1362,32
865,122,18,1,1363,33
866,122,18,1,1364,34
867,122,18,1,1365,35
868,122,18,1,1366,36
869,122,18,1,1367,37
870,122,18,1,1410,40
871,122,18,1,1411,41
872,122,18,1,1412,42
873,122,18,1,1413,43
874,122,18,1,1414,44
875,122,18,1,1415,45
876,122,18,1,1417,46
877,122,18,1,1418,47
878,122,18,1,1419,49
879,122,18,1,1700,3
880,122,18,1,1701,4
881,122,18,1,1702,5
882,122,18,1,4371,9
883,122,18,1,4456,25
884,122,18,1,4525,1
885,122,18,1,4526,2
886,122,18,1,5149,48
887,122,18,1,6094,50
888,122,18,1,7438,39
889,122,18,1,7455,38
890,122,20,2,3,31
891,122,20,2,12,32
892,122,20,2,14,33
893,122,20,2,53,34
894,122,20,2,54,35
895,122,20,2,55,36
896,122,20,2,56,37
897,122,20,2,58,38
898,122,20,2,59,39
899,122,20,2,60,40
900,122,20,2,63,43
901,122,20,2,64,44
902,122,20,2,65,45
903,122,20,2,66,46
904,122,20,2,279,30
905,122,20,2,820,41
906,122,20,2,821,42
907,122,20,2,1348,21
908,122,20,2,1349,22
909,122,20,2,1350,23
910,122,20,2,1352,24
911,122,20,2,1353,25
912,122,20,2,1355,27
913,122,20,2,1357,28
914,122,20,2,1359,29
915,122,20,2,1380,15
916,122,20,2,1381,16
917,122,20,2,1382,17
918,122,20,2,1383,18
919,122,20,2,1384,19
920,122,20,2,1385,20
